cidade,uf,lat,lon,hsp,concessionaria,fio_b
Antônio Prado,RS,-28.85543611,-51.283575,4.18,RGE Sul,0.32
Bagé,RS,-31.39083333,-54.10972222,4.45,CEEE Equatorial,0.28
Garibaldi,RS,-29.26833333,-51.53222222,4.15,RGE Sul,0.32
Canela,RS,-29.37055556,-50.83222222,4.1,RGE Sul,0.32
Capão da Canoa,RS,-29.76361111,-50.03694444,4.18,CEEE Equatorial,0.28
Caxias do Sul,RS,-29.19555556,-51.18972222,4.15,RGE Sul,0.32
Charqueadas,RS,-29.9568,-51.62500556,4.38,CEEE Equatorial,0.28
Cidreira,RS,-30.18116944,-50.20909167,4.15,CEEE Equatorial,0.28
Getúlio Vargas,RS,-27.87591111,-52.249575,4.25,RGE Sul,0.32
Santa Vitória do Palmar,RS,-33.50222222,-53.34416667,4.3,CEEE Equatorial,0.28
Quaraí,RS,-30.38286667,-56.45364444,4.75,RGE Sul,0.32
Barra do Quaraí,RS,-30.211075,-57.55705833,4.8,RGE Sul,0.32
Garruchos,RS,-28.189475,-55.63406944,4.65,RGE Sul,0.32
Itaqui,RS,-29.17305556,-56.53666667,4.7,RGE Sul,0.32
Jaguarão,RS,-32.54055556,-53.38416667,4.35,CEEE Equatorial,0.28
Porto Mauá,RS,-27.57863333,-54.67195,4.45,RGE Sul,0.32
Porto Vera Cruz,RS,-27.73437222,-54.89903056,4.45,RGE Sul,0.32
Porto Xavier,RS,-27.90568889,-55.13956111,4.5,RGE Sul,0.32
Sant'Ana do Livramento,RS,-30.88938333,-55.53481111,4.6,RGE Sul,0.32
São Borja,RS,-28.65305556,-56.03277778,4.65,RGE Sul,0.32
Uruguaiana,RS,-29.78333333,-57.03694444,4.8,RGE Sul,0.32
Ivoti,RS,-29.59415556,-51.15957222,4.32,RGE Sul,0.32
Lagoa Vermelha,RS,-28.20886944,-51.52722778,4.2,RGE Sul,0.32
Estrela,RS,-29.45333333,-51.93416667,4.35,RGE Sul,0.32
Novo Hamburgo,RS,-29.69611111,-51.08166667,4.25,RGE Sul,0.32
Passo Fundo,RS,-28.24527778,-52.32861111,4.3,RGE Sul,0.32
Pedro Osório,RS,-31.86382778,-52.82630833,4.38,CEEE Equatorial,0.28
Pelotas,RS,-31.71611111,-52.33111111,4.35,CEEE Equatorial,0.28
Porto Alegre,RS,-29.99388889,-51.17111111,4.42,CEEE Equatorial,0.28
Rio Grande,RS,-32.08166667,-52.16333333,4.32,CEEE Equatorial,0.28
Salvador do Sul,RS,-29.43973056,-51.50942222,4.3,RGE Sul,0.32
Santa Cruz do Sul,RS,-29.68361111,-52.41222222,4.35,RGE Sul,0.32
